Actor, Number of Movies
Bonnie Sharie, 1
Pamela Bellwood, 2
Enrique Iglesias, 2
Kathy Sue Brown, 2
Leo Ramseyer, 2
Frances Raymond, 1
Hidekazu Akai, 2
Brian Flannery, 1
Spike Spencer, 1
Jeannetta Arnette, 6
Laurent Schilling, 1
Marie Jelliman, 3
Wolfgang Boos, 1
Hans Howes, 3
Amanda Payton, 1
Sinbad, 14
Grant Martell, 2
Bill Baetz, 1
Monty Ross, 1
Christina Hendricks, 1
Moroni Olsen, 5
John Stanton, 4
Jo Harvey Allen, 4
Barbara Bel Geddes, 1
Toma Danila, 1
Michele Yonge, 2
Bryn Larsen, 1
John Voldstad, 1
Simon Burke, 2
Tim MacMenamin, 2
Kulani Hassen, 2
Gilda Carle, 1
Franciszek Trzeciak, 1
Jacques Maury, 2
Luis Robledo, 1
Brodie Biles, 1
Vivian Vance, 1
Sol Pendavis, 1
Edward Clements, 2
Henry Blasingame, 4
Pavel Slabý, 1
Adam Cartwright, 1
Liam O'Brien, 2
Barbara Leake, 1
Gertraud Kreissig, 2
Verda Bridges, 4
John Wheeler, 2
Rudy Wurlitzer, 2
Stephanie Miller, 1
Jonathan Terry, 7
Victor Maddern, 2
Gail Silver, 1
Steve Whitmire, 19
John Glover, 23
Travis Miljan, 1
Vinicio Diamanti, 1
Wendie Malick, 9
Tomezô Tsunokake, 1
Randy Powell, 1
Libia Hakmon, 1
Rudy De Luca, 5
Yeh Hui, 1
David Kelly, 13
Eddy 'Big Eddy' Bekombo, 1
Jodelle Ferland, 4
Yuuki Natsusaka, 1
Janet Margolin, 12
Joaquin Garay III, 1
Pierre Maguelon, 6
Giuseppe Ianigro, 1
Jeff York, 6
David Usher, 1
Basil Dignam, 1
Anthony Cunningham, 1
Camden Munson, 2
Geraldine Moffat, 3
Mickey Fox, 4
Henry Victor, 2
Mary Jo Smith, 1
Gina DeAngeles, 2
Victor Varconi, 2
Fernando Fernán Gómez, 6
Jack Sheldon, 2
Jeff Anderson, 7
Tim Hodge, 2
Dina D., 2
Mickey Munoz, 1
Kôji Shitara, 1
Rica Matsumoto, 1
Roxanne Boulianne, 1
Nicole Vauthier, 1
John Sibi-Okumu, 1
Cecelia Ann Birt, 2
Kanpei Hazama, 1
Johanna Andrea Mora, 1
Mónica Bardem, 1
Philip Ahn, 8
Colin Ward, 1
D.G. Maloney, 1
Stéphane Freiss, 3
Clare Kirkconnell, 1
Dell Yount, 3
Abby Brammell, 1
Chantal Deruaz, 2
Amy Acker, 1
Morty Storm, 1
Freda Perry, 2
Carol Hughes, 3
Dean Roedel Sr., 1
Richie Sambora, 1
Sen Hara, 1
Krystyna Zachwatowicz, 1
Jane Birkin, 6
Jackie Hallex, 2
Cher, 9
Minoru Takada, 1
Elisabeth Sand, 1
Gilberte Rivet, 1
Nicolas Welbers, 1
John Friedrich, 1
Neil Diamond, 3
Kenzô Tanaka, 1
Simon Day, 2
András Szöke, 1
David Bennent, 1
Merritt Janson, 1
Katherine Healy, 1
Jameson Parker, 3
Jacinta Wawatai, 1
Bob Peck, 4
Petra Lea, 1
Annicka Kronberg, 1
Annop Varapanya, 1
Samuel Valadez De La Torre, 1
Sky, 2
Aïssa Djabri, 2
Felix Solis, 1
Gwen Verdon, 9
Lucio Villegas, 1
Rupert Procter, 1
Lorenzo Quinteros, 1
Nancy Kelly, 1
Patrick Dougherty, 4
Carly Pope, 3
Budd Fine, 1
Robert Banas, 1
Aurélia Petit, 1
Heath Lamberts, 1
Kathy Bates, 41
Nancy McDoniel, 1
Janet Neville-Ferguson, 1
Andrew Gillingham, 1
Sam Buckley, 1
Henry A. Escalante, 1
Léa Seydoux, 9
Ralph Strait, 3
Blake Bailey, 1
Judy McIntosh, 3
Yan Hai, 1
Paula Shaw, 4
Tony Kozina, 1
Lady Galore, 2
Shuyuan Jin, 1
Chris Payne Gilbert, 3
Stanley Townsend, 3
Suzanne Cox, 1
David Schwimmer, 11
Ken Wayne, 1
Anthony Prada, 2
Todd Rogers, 2
Brad Smith, 2
Victoria Luna, 2
Ignacio Guadalupe, 1
Shaun Tomson, 1
Zul Vellani, 1
Budd Boetticher, 1
Tsuyoshi Ihara, 1
Judith Maxie, 1
Ron Wood, 1
Pam Dawber, 1
Kevin Rooney, 2
Mihai Constantin, 1
Audrey Tautou, 11
Angus MacKay, 3
Douglas Urbanski, 2
Graham Stark, 12
John Nettleton, 3
Kellita Smith, 3
John McCurry, 3
Pat Gorman, 4
Ildikó Kilin, 1
Laura Leighton, 1
John Brobbey, 1
José Pinto, 1
JoBe Cerny, 3
Pekka Virtanen, 1
John Rogan, 2
Paul Cassell, 2
Debi Durst, 3
Jacob Rupp, 2
Lorena Heranandez, 1
Betty King, 2
M. Casey Reeves, 1
Tom Anfinsen, 2
Ben Haller, 2
Howard Cooper, 3
Russell Howard, 3
Ron Smith, 1
Lupo Berkowitch, 2
Yvonne Harrison, 3
Jane March, 5
Erik Weiner, 1
Amick Byram, 3
Rudolf Lettinger, 2
Charles Irving, 2
Virginie Thévenet, 3
Petra Peters, 1
Eric Gonzales, 2
Lahmard J. Tate, 7
Kellie Flanagan, 1
Endre Hules, 1
Jenny Parsons, 1
Claes Ahlstedt, 1
Sang-Yoon Lee, 1
Julian Beck, 4
Iain Robertson, 2
Joel Ney, 1
Benny Luke, 2
Joseph Fiennes, 14
Art Stone, 1
Ethel Rosenberg, 1
Ileana Fraia, 1
Ray Xifo, 5
Constance Forslund, 4
Patricia Kalember, 7
James DeBello, 9
Kate Luyben, 2
Zak Ludwig, 2
Mary Catherine Wright, 4
Irene Montalà, 4
Wendie Jo Sperber, 6
Jae-Jin Jung, 1
Honorato Magaloni, 1
Ryô Iwamatsu, 1
Harrison Mohr, 1
Reinout Bussemaker, 1
Martha Mattox, 1
Valentin Zubkov, 1
Michael Ziegfeld, 2
Eugene Ipkarnak, 1
Pat Ast, 2
Annette Hazanavicius, 1
Yoshiko Tanaka, 1
Kevin Buitrago, 1
Francesco Edoardo Anglieri, 1
Elan Oberon, 1
Lasse Lunderskov, 2
Jamie Alcroft, 1
Cheryl Markowitz, 1
Yvette McClendon, 1
William Converse-Roberts, 5
Peter Curtin, 2
Peter Howell, 2
Bill Turnbull, 1
Mary Garvey, 1
Paula McManus, 1
Oliver James, 2
Emlyn Gomer, 1
Wally Taylor, 7
Cris Campion, 1
Wendy Welles, 1
Marion Moseley, 1
Eduardo Blanco, 1
Shmulik Bernheimer, 1
Joe Bays, 3
Jason Wright, 1
Jefferson Mappin, 1
Masao Mukai, 1
Liam Falconer, 1
Jenna Brooks, 1
Willy Peters, 1
Elsa Lanchester, 16
Christopher Norris, 1
Jean-François Martial, 1
Jessalyn Gilsig, 5
Angus Sampson, 2
Bronwen Mantel, 5
Adrian Scarborough, 5
Shane Bellegarde, 1
Rachel Rotten, 1
Jolene Purdy, 2
Gregory Wallace, 1
Kathy Cronkite, 1
Margery Mason, 4
Lee Quick, 1
Eda Reiss Merin, 5
John Bertholon, 1
Ernest Truex, 2
Don Winston, 2
Carrie Sterr, 1
Marcia Jean Kurtz, 11
John Canada Terrell, 4
Linda Cardellini, 17
Bjørn Watt-Boolsen, 1
Lisa Popeil, 1
Stephen Markle, 1
Geoffrey Bayldon, 5
Jochen Stern, 2
Victor Checo, 1
Adrian Sparks, 3
Lynn Johnson, 2
Graham Kosakoski, 1
Robin Duke, 3
Virginia Valli, 1
Bill Applebaum, 4
Ray Allen, 3
Douglas Emerson, 1
Bill Thompson, 6
Gema Sandoval, 1
Lola Bates-Campbell, 3
Alain Dijon, 1
Maureen Shannon, 1
Robert Darmel, 1
Ofelia Guilmáin, 2
Barbara Howar, 1
Elkan Abramowitz, 1
Alexis Raben, 1
Skye McCole Bartusiak, 2
Cristián de la Fuente, 1
Frank John Hughes, 4
Jim Carmichael, 1
Mary Healey, 2
Daniella Loftus, 1
Timothy Doyle, 1
Nancy Marchand, 8
Steven Pringle, 1
Kumiko Imai, 1
Leslie Daniels, 1
Viviane Vives, 1
Darcas Macopson, 1
Tamara Craig Thomas, 1
Rob Machado, 1
Pavel Landovský, 1
Jean Blanchflower, 1
Chris Levitus, 1
James McManus, 1
Jonathan Fried, 1
Owen McGiveney, 1
James Best, 7
Lawrence Dane, 11
Janet Dale, 2
Kim Marriner, 1
Poncho Ramón, 2
Dmitry Preyers, 1
Naoyuki Fujii, 1
Hanyee, 1
Kathryn Rose, 2
Roscoe Lee Browne, 22
Bruce A. Young, 13
Edan Gross, 3
J.S. Johnson, 2
Richard Tucker, 3
James Aiden, 1
Ray Ballard, 3
Clayton Blocker, 1
Robert Carricart, 1
Anatoliy Solonitsyn, 4
Gianna Ranaudo, 1
Michael Aldridge, 4
Selma Kouchy, 1
Mary Pickford, 1
Jim Chiros, 2
Steve Reid, 2
Javon Barnwell, 2
Rebecca Gordon, 2
Phyllis Yvonne Stickney, 3
Linda Darlow, 2
James D'Arcy, 5
Emilio Cigoli, 1
Yangzom, 1
Leroy Peltier, 3
Vidal Peterson, 2
Corki Corman, 2
Ed Metzger, 1
Kyrre Hellum, 2
Roddy McMillan, 2
Deirdre Quinn, 2
Jody Thompson, 1
Eily Malyon, 3
Peter Bubriski, 1
Maria Helena Velasco, 1
Tom Hull, 3
Kippy Campbell, 1
Nathan Kress, 2
Lydia Reed, 1
Jack Breschard, 1
Miriam Billington, 1
Blandine Lenoir, 1
John Truskett, 1
Gregory Levinson, 2
Vince Morelli, 1
Mikhail Baryshnikov, 4
Tyler Stewart, 1
Richard Swingler, 4
Narciso Pula, 1
Michael J. Nelson, 3
Reginald Sheffield, 2
Bille Brown, 2
Clare Francis, 1
Jackie Mason, 2
Terence Crawford, 1
Gavin Gordon, 4
Emilio Estevez, 33
Edouard Montoute, 2
Elsebeth Steentoft, 1
Yasen Peyankov, 2
Captain Kidd Brewer Jr., 2
Susan Monteregge, 1
Virginia McKenna, 6
Eddie Laughton, 1
Ann Coyle, 2
Roger Kelton, 1
Matthew Sim, 2
Rose Mary Campos, 2
Kevin Lund, 1
Chieko Nakakita, 1
Ping Lam Siu, 4
David Lee McInnis, 1
Robert Tsai, 2
Katherine Bongfeldt, 1
Tahuna Minhinnick, 1
Rob Moran, 7
Susie Miller, 1
Jeremy Sims, 1
Vincent Spano, 11
Rob Kaman, 2
Darrin Dickerson, 1
Brendan O'Hea, 1
Armand Laroche, 1
Terrence Ross, 1
Jeremy Bergman, 1
John Sutton, 1
Cree Ivey, 2
Mitsuru Fukikoshi, 2
Evi Marandi, 2
Judith Owen, 1
Damany Mathis, 2
Myra Lucretia Taylor, 3
Lukas Loughran, 1
Bo Svenson, 6
Jean Faulds, 2
Blanche Rubin, 4
Kevin Best, 1
Hardy Frye, 1
Carl Bressler, 3
Katherine Franco, 1
Lynette Sheldon, 1
Masayuki Kawakatsu, 1
Gérard Barray, 2
Farren Monet Daniels, 1
Josh Folan, 1
Walter Genewein, 1
Stephan Baumecker, 1
Tommy Kavelin, 3
Kristine Sutherland, 3
Yaakov Ahimeir, 1
Tomislav Maretic, 2
Bobbin Bergstrom, 2
Oh-bin Mun, 1
Diana Ravelo, 1
Mathieu Schiffman, 2
Theresa Harris, 1
Dan T. Mann, 1
Pal Aron, 1
Octavia St. Laurent, 1
Roxann Dawson, 1
Assi Dayan, 1
Jonathan Silverman, 13
Marek Stawinski, 2
Ramón Serrada, 1
Jennifer Meyers, 1
Maria Pitillo, 10
Jonathan Kahn, 1
Rich Kronfeld, 1
Dan Wyllie, 7
John Aylward, 3
Geun-Young Moon, 1
Michel Albertini, 1
Folco Lulli, 1
Gary Waddell, 2
Sang-hyun Cho, 1
Del La Grace Volcano, 1
Sherry Miller, 4
Adam Robitel, 2
Dylan O'Brien, 1
Maidie Norman, 4
Sheila Kelley, 8
Miguel Sandoval, 24
Roger Ailes, 1
Ming-jie Cai, 1
Peter Hosking, 1
Charles Frank, 1
Perrey Reeves, 7
Ernestine Mercer, 5
Lucinda Dickey, 2
Pasquale Misiano, 2
Ivo Naidenov, 1
Richard Donat, 1
Hermann Göring, 1
Stephen P. Dunn, 2
Amgaabazar Gonson, 1
Miles Chandler, 1
Britt Robertson, 3
John Scherp, 1
Blandine Jeanson, 1
Ryan Alosio, 2
Patricia Estrin, 1
Bart Tangredi, 3
Adrian Dunbar, 9
Daniel Miranda, 1
Frank Carl Fisher Jr., 1
Russell Kiefel, 4
Ian Barford, 2
Roberto Benigni, 7
William Lucking, 7
Tarryn Meaker, 1
Lydia Lenosi, 1
Mamadou Lam, 1
Marisa Van Eyle, 1
Taisto Wesslin, 1
Michelle Trongone, 1
Gareth Young, 1
Sheldon Lewis, 1
Colin Moy, 1
Matthew Brooks, 1
Klaudia Szabó, 1
Élodie Bouchez, 4
Billy Louviere, 2
Cora Miao, 1
Désirée Nosbusch, 1
Emanuele Vacca, 1
Seguna, 1
Johan Widerberg, 1
Kevin McGuire, 1
Michael Saad, 2
Victoria Hamilton, 2
Anson Scoville, 1
Shawn Hewitt, 3
Lucy Liu, 25
Miroslav Jovanovic, 1
Doris Schade, 2
Steve White, 1
Isabella Fink, 1
Susan Coyne, 2
Mark Hicks, 2
Helen Mendes, 1
Lucy Lin, 8
Alice Reinheart, 1
Guillaume Durand, 1
Becca Lish, 2
Oksana Akinshina, 3
Hélène Dassonville, 1
Terry Wells, 3
William Gargan, 3
Marino Masé, 3
Bobby Clark, 5
Bob Barker, 3
Jill Ritchie, 4
Brian Pimental, 1
Soo Garay, 1
Michael O'Guinne, 2
Quentin O'Brien, 1
Chi-Der Hong, 1
Joshua Malina, 5
Molly Kasch, 1
Zachary Handy, 1
Didier Lemoine, 2
Megan Robbins, 2
Jane McNeill, 3
John Bernard, 1
Pascale Hutton, 2
Jong-won Lee, 1
Sonya Hedenbratt, 2
Ronn Sarosiak, 2
Johnny Cheah, 1
Guy Bensley, 2
Virginie Ledoyen, 12
Paul Shenar, 10
Sylvia Kristel, 8
Kate Harper, 1
Lisa Koch, 1
Richard Romancito, 1
Jorma Taccone, 2
Keisha Castle-Hughes, 4
Michael Cullen, 1
Ingo Naujoks, 1
Daniel White, 1
Tom McBride, 2
Erica Braun, 1
Akiko Wakabayashi, 3
Thang-Long, 1
Julie Wooldridge, 1
Guy Siner, 2
Glyn Dearman, 1
Ossie Davis, 22
Karryn Brown, 1
Veronica Lake, 2
Cathianne Blore, 3
Börje Ahlstedt, 4
Gabrielle Carteris, 1
Chelsea Tavares, 2
David Eppel, 1
Doris Roberts, 13
Donald Fullilove, 6
Tilda Swinton, 19
Jack Shamblin, 1
Michael Thoma, 1
Robbie Barnett, 2
Collin Chou, 4
Jonas Talkington, 1
Mark Lindsay, 1
Race Wong, 1
Bruce Fleischer, 2
Steve Marshall, 2
Kees Prins, 1
John Wittig, 1
Eddie Mayehoff, 1
John Gilbert, 2
Tom Tully, 5
JoNell Kennedy, 3
Sian Naiomi, 1
Lore Segal, 1
Paul Regan, 1
Romy Schneider, 2
Anthony Quayle, 16
Colin Salmon, 12
Liz Ross, 3
Jayne Luke, 2
Doug Wren, 2
Damon Gupton, 2
Cindy Carver, 1
Al Stevenson, 2
Hector Elias, 7
Sharyn Wynters, 2
Olga Tudorache, 1
Suzanne O'Donnell, 2
Michael Stuhlbarg, 1
Bobby Tau, 1
Stephen Muller, 1
Tim Finn, 1
Marshall Anker, 1
Zachary Mott, 2
Al Ramrus, 1
Josh Hutcherson, 13
Jonathan Hadary, 7
Zdenek Sverák, 1
Angela Ragno, 1
Dan Martin, 2
Bernard Maume, 1
Lou Landré, 2
Linda Warren, 2
Ted Berger, 1
Nicole Evans, 2
Jaye Davidson, 4
Germaine Licht, 1
Walter Kim, 1
Charlie, 1
Jack Dillon, 2
Jo Champa, 8
Alejandro Jodorowsky, 1
Faedragh Carpenter, 1
Mario Bandi, 1
Alec Cawthorne, 2
Michael Vollans, 2
Huriye Balkaya, 1
Marie-Laure Descoureaux, 1
Jonathon Morris, 1
Joyful Drake, 1
Candi Milo, 3
Nico Ledermueller, 1
Bud Vest, 1
Minosuke Yamada, 1
Steve Blane, 1
Lawrence Kuppin, 2
Nomi Sharron, 2
Dylan Haggerty, 1
Randall Paul, 2
Darvel Davis Jr., 1
Brian Vander Ark, 1
Malindi Fickle, 1
Brent Roam, 3
Mathieu Amalric, 8
Alec Baldwin, 60
Michele Shay, 4
Isabelle Costacurta, 1
Eli Mintz, 2
Kiyoshi Kobayashi, 1
Andre Moore, 1
Jack Nance, 17
Joseph Thiaka, 2
Amy Braverman, 1
Scorpio, 1
Linda Kerr Scott, 1
Tim Sitarz, 1
Peggy Feury, 2
Lauren Tewes, 1
Kari G. Peyton, 1
Lou Frizzell, 3
Danny Rhodes, 1
Charlene Amoia, 1
Jules Dassin, 2
Julian Curry, 2
Philippe Beaufort, 1
Kevin Corcoran, 3
Sandahl Bergman, 6
Innocent, 1
Tiffany Rouge, 1
André Laime, 1
D.J. Dellos, 1
Timo Dierkes, 2
Tom Finnegan, 2
Pierre-Ange Le Pogam, 1
Blake Jeremy Collins, 4
Alison Krauss, 1
Dale Ishimoto, 2
Josh Mostel, 32
Rudolph Willrich, 1
Mari Fletcher, 1
Laura Chéron, 1
Joe Forbrich, 2
Hamilton Clancy, 1
Madison Davenport, 2
Temuera Morrison, 13
Louis Saintève, 1
Saidah Arrika Ekulona, 2
David Lipman, 2
Emma Louise Moore, 1
Kate Linder, 1
Ian Hart, 21
Jo Kendall, 2
Melanie Griffith, 32
Levi Fiehler, 1
Erna Brünell, 1
John Kapelos, 10
Andrew Moodie, 1
Stuart McQuarrie, 3
Mrs. Van Wyk, 1
Nolan North, 2
Laura Fraser, 7
Mark Adair-Rios, 8
Howard Barker, 1
Emily Marks, 2
Newton Blick, 1
Alla Demidova, 1
Maurice Rosenfield, 3
Michelle Nicastro, 4
Taj Burrow, 2
Sian Scott, 1
William Dick, 3
Lester Berman, 1
Paul Eddington, 2
DeAndre Gipson, 1
Lenny Venito, 8
Yaakov Meir Weil, 1
Bob Young, 3
Alexandra Danilova, 1
Alexandra Dahlström, 1
Ruth Volner, 6
Eric Norris, 1
Larry Marshall, 4
Jeremy Swift, 4
Mark Carlton, 4
Cody Glenn, 3
John Justin, 3
Jim Conrad, 2
Bianca Tognocchi, 1
Sergi Schaaff, 1
Sílvio Júnior, 1
John Ashley, 5
Conrad Brooks, 3
Michael Paré, 14
Stephen Curry, 1
Ellia English, 2
Ernie Kovacs, 3
Charles 'Honi' Coles, 2
Austin Nichols, 4
Karimah Westbrook, 1
Helmut Weestmann, 1
Jean-Marie Rivière, 1
Catherine Colvey, 1
Peter Frye, 1
Carmine Caridi, 9
Young-hwa Seo, 3
Jeffrey Wiseman, 2
Olwen Fouere, 1
Aszue Wilson, 1
Seijun Suzuki, 1
Michket Krifa, 1
Ellen Albertini Dow, 7
Sophie Lucachevski, 1
PJ DeBoy, 1
Frank Thornton, 1
Dominic Cooper, 4
Paul Ridley, 1
T.C. Adams, 1
Norman E. Thagard, 1
Jason Lockhart, 1
Rex Harrison, 4
Bianca Rossini, 1
Jeffrey J. Dashnaw, 1
Angela Lanza, 3
Fabio Pasquini, 1
Leonie Page, 1
Kelly Gordon, 1
David Low, 1
Johanna McKay, 1
Kathryn Erbe, 8
Sydney Pearson, 1
David Roya, 1
Ting Yip Ng, 5
Marty Zagon, 2
Roger Robinson, 3
Emily Nagle, 1
John Sharian, 5
Fergus McLarnon, 1
Terry Kinney, 17
María Rosenfeldt, 1
Marguerite Hurst, 2
Helene Marshall, 1
Nicole DeHuff, 4
Masatoshi Matsuo, 1
Jamie McClelland, 1
Yukie Mori, 2
Spice Williams-Crosby, 2
Jim Allen, 1
Rod Brasfield, 2
Michael Van Wijk, 1
Joseph Rutten, 2
Odessa Munroe, 2
Ewa Piaskowska, 2
Per Egil Aske, 1
Saisin Wongkhamlao, 1
Jesper Hyldegaard, 2
Cynthia Myers, 3
Richard Wong, 1
Robert B. Hedges, 1
Charles Venn, 1
Brian Kerwin, 16
Carlos Burle, 1
Fred Fischer, 1
Christopher Shea, 1
Will Hare, 3
Samuel Dupuy, 1
Socorro Herrera, 2
Douglas Wilmer, 5
Kelly Lai Chen, 2
Ricky Nelson, 1
Michael Dorn, 8
Iain Ewing, 1
Kathleen Tessaro, 1
Stephen Blackehart, 4
Rowena King, 1
Patricia Pearcy, 4
Joan Baez, 2
Tyrone Power, 6
Tim Norfolk, 1
Leigh Whitney, 1
Peter Van Norden, 6
Owen Gorman, 1
Matt Devereaux, 1
Chris Tucker, 15
Thelma Pelish, 1
Kevin Nealon, 13
Lord Kayson, 2
Brent Spiner, 13
Maxime Sassier, 1
Flora Montgomery, 2
Miguel Alcíbar, 1
Lisa Fitzhugh, 1
Johnny Brown, 2
Sensel Uykal, 1
Tony Curran, 17
Bill Caplan, 2
Mary Gordon, 5
Sandy Richman, 2
Lei Liu, 1
Sonja Richter, 2
Tony Fosco, 2
Dennis Miller, 13
Louise Allbritton, 2
Sven Lindberg, 1
Hal Holbrook, 29
Fatia Maite, 1
Megan Hall, 1
Horace Hodges, 1
Hayley Mills, 7
Jacqueline Aguirre, 1
Stefano Accorsi, 2
Kate Asner, 1
Roger Hewlett, 2
Lorraine Devon, 1
Judith Jones, 1
Hugh Walters, 2
Devyn Burant, 1
Jan Van Reenen, 1
Doze Niu, 1
Renée Zellweger, 29
Dax Shepard, 7
Wanya Green, 1
Jin-seob Han, 1
Paul Doonan, 2
Petre Arsovski, 1
Christopher Shyer, 3
Charmaine Craig, 1
John Bennett, 3
Doris Hess, 2
Lainie Kazan, 21
Evelyn Falke, 1
GanAli Khorami, 1
Tyler Cole Malinger, 2
Sioned Jones Williams, 1
Cathryn Damon, 3
Bo Z. Wang, 1
Norihide Goto, 1
Leila Johnson, 1
Kimberly 'Lil' Kim' Jones, 3
Casey McAuliffe, 2
Bill Crabb, 2
Oliver Broumis, 2
Hervé Villechaize, 7
Ruby Wax, 3
Leopoldo Francés, 1
H.B. Warner, 9
Mark Kiely, 3
Doris Day, 14
Amy Adams, 16
Padua Hills Players, 1
Vicellous Reon Shannon, 3
Jimmy Moffit, 1
Hart Bochner, 16
Wendy Noel, 1
Laurie Heineman, 1
Pietro Ragusa, 1
Daliah Lavi, 1
Silkie O'Ishi, 1
Scott Fletcher, 1
Marni Lustig, 2
Mengnan Li, 1
Jan Pearson, 1
James Murtaugh, 10
Tom Kemp, 1
Gillian Hills, 1
J. Leon Pridgen II, 1
Austin Majors, 2
Pekka Heikkinen, 1
Grant Russell, 3
Ashok Lath, 1
David Weston, 1
Wesley Eure, 1
Claire Skinner, 3
Darrell Sandeen, 1
Jud Taylor, 1
Ayumu Tokitô, 1
Lorànt Deutsch, 1
Daphne Rubin-Vega, 1
Gerardo Romano, 1
Roswitha Soukup, 1
JD Cullum, 8
Eric Saiet, 1
Daniel Boulanger, 3
Tom Matsusaka, 1
Howard Huntsberry, 2
Ernest Miller, 1
William Newman, 11
Haydée Caillot, 2
Matt Letscher, 1
Denise Bryer, 2
Joy Behar, 2
Robert Grubb, 4
Rodger Boyce, 4
Chris Charlesworth, 1
Robert Dioguardi, 1
Lonnie Farmer, 2
Nelson Landrieu, 1
Amie Carey, 3
James Coine, 1
Ralph Seymour, 10
Arnie Moore, 2
Ledesma, 1
Jean Paul Bell, 2
Tony Way, 3
Moses Chan, 2
Paul G. Kenner, 1
Paul L. Ehrmann, 2
Nozomu Sasaki, 3
Ruth White, 8
Travis Oates, 1
Tom Welling, 5
Alex Symons-Sutcliffe, 1
Pamela Lincoln, 1
Themsi Times, 1
Gary Joseph Thorup, 2
Peter Hammond, 1
Bracken Johnson, 2
Jens Blegaa, 1
Ron Vawter, 6
Kathryn Doby, 5
Jeff Bennett, 47
Sam Loud Hawk, 1
Eric Lawson, 1
Paul Kaye, 1
Kim Kutner, 1
Ingrid Oliver, 3
Lex Shrapnel, 1
Jo Wilkinson, 1
Rosario Zúñiga, 1
Monia Hichri, 1
Steve Adams, 1
Christiane Schmidtmer, 4
Joop van Hulzen, 2
Nicholas Braun, 3
I. Abdulragimov, 1
Choukri Gabteni, 1
Olga Valéry, 1
Melissa Fitzgerald, 1
Claudia Templeton, 1
Peter Hock, 2
Tristan Sturrock, 1
Charles Dierkop, 9
Tyreese Burnett, 2
Eliza Coupe, 2
Jane Gurnett, 2
Sadou Teymouri, 1
Lexie Bigham, 2
Matt Czuchry, 4
Cameron Mathison, 1
Jamill 'Peaches' Fowler, 1
Michelle Michaels, 1
Verina Greenlaw, 2
Yamil Borges, 2
Salli Richardson-Whitfield, 12
Nicholas Waggoner, 1
G. Smokey Campbell, 2
Dawn Clark, 1
Vernon Vaughn, 3
Erik Schumann, 2
Edmund Cobb, 1
Teresa Lebron, 1
Shinpachi Tsuji, 1
Daniel Hart, 2
Marc Donato, 6
Lucy Tillet, 1
Kathryn Morris, 7
Eva Löbau, 1
Justinian Kfoury, 1
Livio Galassi, 1
Marcel Pérès, 2
Nannette Brown, 1
Cecile Claridge, 1
Félicien Pitsaer, 1
Michael Fairman, 2
Richard Wordsworth, 1
Maggie Lawson, 2
Agnes Bruckner, 6
Yûta Sone, 1
Jahnni St. John, 4
Blake Hightower, 1
Catherine McClenry, 1
Faizon Love, 20
John Sebastian, 1
Tyler Kuhn, 1
Aaron Cain, 1
Arturo Gil, 2
Larry Sullivan, 4
Tomi Salmela, 1
Lena Endre, 2
Talina Boyaci, 2
Alice Eisner, 2
Jody O'Neil, 1
Bobbi Thompson, 1
Makiko Ômoto, 1
Edward Power, 1
Henry Brown, 6
Soumitra Chatterjee, 1
Hedwig Bleibtreu, 1
Johnny Haymer, 1
Eduardo Valenzuela, 1
Veda Ann Borg, 2
Michael Carmine, 4
Anthony Mockus Sr., 6
Pauline Martin, 1
Bill Weeden, 2
Dembo Goumane, 1
Susan Adam, 1
G.A. Aguilar, 3
Erica Leerhsen, 6
Billie Mae Richards, 1
Conrad Pla, 1
Darren Lee, 2
Elizabeth Ashley, 5
Walter Troger, 1
Beau Sia, 1
Lynn Cartwright, 2
Arnaud Goujon, 1
Claudio Ciacci, 1
Valerie Perrine, 14
Danny Richter, 2
Elizabeth Meriwether, 1
Essex Smith, 2
Enrique García Álvarez, 2
Barry Snider, 3
Rachel Morrin, 1
Lisa Skagerstam, 1
Kenneth Hartman, 2
Noah Baumbach, 1
Christopher Castile, 3
Billy Crudup, 16
Douglas Sills, 1
Helen Gill, 1
Amanda Langlet, 2
Annie Sprinkle, 1
Campbell Scott, 15
Kenneth McMillan, 20
Shay Astar, 1
Sean Patrick Reilly, 1
Sean Berdy, 1
Cheryl Robinson, 1
Hiromi Ichida, 2
Tom McBeath, 4
Carman, 2
Michelle Stone, 1
Helen Wheels, 2
Jason Cope, 1
Simon Mason, 1
Paula Boudreau, 1
Justin Hagan, 1
Edward Brophy, 3
Walter Burns, 1
Louis Nye, 1
George Coe, 19
Patrick Cromer, 1
Christoph Colomb, 1
Tai Chung Kim, 1
Kyle Stanger, 2
Richard Sali, 1
Selma Vaz Dias, 2
Ritamarie Kelly, 1
John Cato, 1
Herbie Faye, 5
Martin Barre, 1
Evan James, 1
Godfrey James, 4
John Howard Davies, 1
Russell Arms, 2
Anne-Marie Kennedy, 1
Alexis Arquette, 9
Fernando Sánchez-Cabezudo, 1
Hana Maria Pravda, 2
Geoffrey Horne, 4
Lise Simms, 1
Ji-hyeon Nam, 1
French Stewart, 9
Ashley Kelly, 1
Percy Kilbride, 2
Alyson Stoner, 7
Ed O'Neill, 15
Martin Doyle, 1
Yôko Azusa, 1
Etienne Chicot, 3
Cynthia Bain, 1
Lisa Jane Persky, 16
Tara Subkoff, 6
Darwyn Swalve, 3
Jeff Healey, 2
Stephen Coit, 2
Nympho, 1
Harrison Pratt, 3
Mairead McKinley, 1
Andre Eglevsky, 1
Lela E. Rogers, 1
